ORDER_ID,CUST_ID,ORDER_DATE,ORDER_TIME,FREIGHT_CHARGES,ORDER_SALESMAN,ORDER_POSTED_DATE,ORDER_SHIP_DATE
51,"10725","2008-06-11 00:00:00.000","2008-06-11 15:36:44.886",13.70,"RP319 ","2008-07-10 00:00:00.000","20/07/08"
52,"11449","2008-05-11 00:00:00.000","2008-05-11 21:27:55.556",13.70,"SW217 ","2008-05-30 00:00:00.000","10/06/08"
53,"11325","2008-01-08 00:00:00.000","2008-01-08 03:13:54.564",13.70,"SW277 ","2008-02-20 00:00:00.000","27/03/08"
54,"11713","2008-11-03 00:00:00.000","2008-11-03 19:43:54.804",13.70,"NC364 ","2008-12-04 00:00:00.000","12/12/08"
56,"10696","2008-05-11 00:00:00.000","2008-05-11 21:27:55.556",13.70,"SW217 ","2008-05-30 00:00:00.000","10/06/08"
57,"12981","2008-03-28 00:00:00.000","2008-03-28 02:22:36.564",13.70,"WE421 ","2008-04-03 00:00:00.000","19/04/08"
58,"12303","2008-03-10 00:00:00.000","2008-03-10 06:22:36.564",13.70,"NC166 ","2008-03-20 00:00:00.000","30/03/08"
59,"13133","2008-02-06 00:00:00.000","2008-02-06 13:07:36.370",11.15,"NW379 ","2008-02-20 00:00:00.000","01/03/08"
60,"10197","2008-11-13 00:00:00.000","2008-11-13 21:59:36.250",11.15,"SC199 ","2008-12-19 00:00:00.000","27/12/08"
61,"13176","2008-01-22 00:00:00.000","2008-01-22 22:39:06.250",11.15,"SE337 ","2008-03-10 00:00:00.000","27/03/08"
62,"11990","2008-08-10 00:00:00.000","2008-08-10 22:07:24.486",11.15,"NW382 ","2008-09-08 00:00:00.000","10/08/08"
63,"10434","2008-11-11 00:00:00.000","2008-11-11 21:47:56.370",11.15,"WE220 ","2008-12-16 00:00:00.000","25/12/08"
64,"12368","2007-09-16 00:00:00.000","2007-09-16 09:11:26.258",11.15,"NE370 ","2007-09-30 00:00:00.000","09/10/07"
65,"12106","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",11.15,"SC394 ","2009-03-16 17:47:25.000","05/08/09"
66,"12250","2008-05-30 00:00:00.000","2008-05-30 17:27:39.380",11.15,"NC427 ","2008-06-20 00:00:00.000","10/07/08"
67,"12880","2008-11-11 00:00:00.000","2008-11-11 21:47:56.370",11.15,"WE220 ","2008-12-16 00:00:00.000","25/12/08"
68,"11836","2008-01-06 00:00:00.000","2008-01-06 18:23:54.564",11.15,"NW118 ","2008-01-26 00:00:00.000","07/02/08"
70,"12442","2008-11-03 00:00:00.000","2008-11-03 08:44:16.564",11.15,"NE178 ","2008-12-01 00:00:00.000","20/12/08"
71,"12624","2007-09-16 00:00:00.000","2007-09-16 09:11:26.258",11.15,"NE370 ","2007-09-30 00:00:00.000","09/10/07"
72,"13499","2008-12-16 00:00:00.000","2008-12-16 07:32:59.456",38.99,"SW346 ","2009-01-01 00:00:00.000","05/01/09"
73,"10709","2008-12-07 00:00:00.000","2008-12-07 08:43:52.556",19.85,"SW274 ","2009-01-22 00:00:00.000","25/01/09"
74,"11995","2008-10-07 00:00:00.000","2008-10-07 21:33:59.456",6.38,"SE265 ","2008-11-20 00:00:00.000","25/11/08"
75,"13345","2008-06-11 00:00:00.000","2008-06-11 15:36:44.886",24.08,"RP319 ","2008-07-10 00:00:00.000","20/07/08"
76,"10882","2008-01-22 00:00:00.000","2008-01-22 22:39:06.250",11.35,"SE337 ","2008-03-10 00:00:00.000","27/03/08"
78,"10365","2008-08-31 00:00:00.000","2008-08-31 19:17:24.586",5.85,"NC100 ","2008-09-10 00:00:00.000","20/08/08"
79,"10745","2008-10-20 00:00:00.000","2008-10-20 20:07:39.380",11.15,"WE286 ","2008-11-20 00:00:00.000","30/11/08"
80,"10224","2008-11-11 00:00:00.000","2008-11-11 01:34:16.564",13.70,"NW115 ","2008-12-08 00:00:00.000","19/12/08"
81,"11104","2008-11-18 00:00:00.000","2008-11-18 21:33:44.806",11.45,"NE367 ","2008-12-10 00:00:00.000","20/12/08"
82,"10899","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",11.15,"SW211 ","2009-03-16 17:47:25.000","05/08/09"
83,"11225","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",22.77,"SW412 ","2009-03-16 17:47:25.000","05/08/09"
84,"12551","2008-11-11 00:00:00.000","2008-11-11 18:24:36.250",17.23,"SC328 ","2008-12-13 00:00:00.000","20/12/08"
85,"11248","2008-02-29 00:00:00.000","2008-02-29 22:39:06.250",1.49,"SE331 ","2008-03-17 00:00:00.000","27/03/08"
86,"13161","2008-12-25 00:00:00.000","2008-12-25 09:32:50.756",27.99,"NW247 ","2009-01-09 00:00:00.000","15/01/09"
87,"12573","2008-01-06 00:00:00.000","2008-01-06 18:23:54.564",18.24,"NW118 ","2008-01-26 00:00:00.000","07/02/08"
89,"13330","2008-11-25 00:00:00.000","2008-11-25 16:23:44.806",5.85,"NW244 ","2008-12-07 00:00:00.000","15/12/08"
90,"10799","2008-04-02 00:00:00.000","2008-04-02 16:33:44.886",11.15,"NW112 ","2008-04-28 00:00:00.000","30/05/08"
91,"10770","2008-09-23 00:00:00.000","2008-09-23 16:43:54.564",12.50,"NW187 ","2008-10-10 00:00:00.000","22/10/08"
92,"10166","2008-04-10 00:00:00.000","2008-04-10 22:47:52.556",35.42,"NE241 ","2008-04-22 00:00:00.000","25/04/08"
93,"10958","2008-12-10 00:00:00.000","2008-12-10 01:32:59.456",29.79,"NC232 ","2009-01-22 00:00:00.000","25/01/09"
94,"12154","2008-05-13 00:00:00.000","2008-05-13 16:58:44.886",17.90,"NW313 ","2008-05-28 00:00:00.000","30/05/08"
95,"13252","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",16.85,"SC196 ","2009-03-16 17:47:25.000","05/08/09"
96,"11338","2008-08-03 00:00:00.000","2008-08-03 17:27:54.986",33.99,"NE172 ","2008-09-02 00:00:00.000","10/08/08"
97,"11676","2008-08-19 00:00:00.000","2008-08-19 01:34:16.564",13.77,"SE403 ","2008-08-29 00:00:00.000","09/09/08"
98,"11854","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",21.97,"NE109 ","2009-03-16 17:47:25.000","05/08/09"
99,"10697","2008-08-25 00:00:00.000","2008-08-25 16:39:06.250",8.99,"NC160 ","2008-09-19 00:00:00.000","27/09/08"
100,"12238","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",30.00,"NC163 ","2009-03-16 17:47:25.000","05/08/09"
101,"10991","2008-06-01 00:00:00.000","2008-06-01 16:58:44.886",16.33,"NC361 ","2008-07-20 00:00:00.000","30/07/08"
102,"10358","2008-04-29 00:00:00.000","2008-04-29 20:59:06.250",28.55,"WE349 ","2008-06-15 00:00:00.000","27/06/08"
103,"12040","2008-02-06 00:00:00.000","2008-02-06 13:07:36.370",13.88,"NW379 ","2008-02-20 00:00:00.000","01/03/08"
104,"11645","2007-09-16 00:00:00.000","2007-09-16 09:11:26.258",14.28,"NE370 ","2007-09-30 00:00:00.000","09/10/07"
105,"13227","2008-03-14 00:00:00.000","2008-03-14 02:22:36.564",30.00,"SW214 ","2008-03-29 00:00:00.000","09/04/08"
106,"11387","2008-04-26 00:00:00.000","2008-04-26 02:22:36.564",16.83,"NE238 ","2008-05-05 00:00:00.000","19/05/08"
107,"11181","2008-11-03 00:00:00.000","2008-11-03 19:43:54.804",23.37,"NC364 ","2008-12-04 00:00:00.000","12/12/08"
108,"13385","2008-03-14 00:00:00.000","2008-03-14 02:22:36.564",6.15,"SW214 ","2008-03-29 00:00:00.000","09/04/08"
109,"13514","2008-02-17 00:00:00.000","2008-02-17 05:25:36.564",19.85,"NE307 ","2008-03-10 00:00:00.000","20/04/08"
110,"13129","2009-04-14 00:00:00.000","2009-04-14 07:32:45.116",9.00,"NE301 ","2009-07-23 00:00:00.000","12/08/09"
111,"10395","2008-12-10 00:00:00.000","2008-12-10 01:32:59.456",5.85,"NC232 ","2009-01-22 00:00:00.000","25/01/09"
112,"11417","2008-09-19 00:00:00.000","2008-09-19 19:57:35.556",11.15,"SE334 ","2008-09-30 00:00:00.000","10/09/08"
113,"12447","2008-11-03 00:00:00.000","2008-11-03 19:43:54.804",13.70,"NC364 ","2008-12-04 00:00:00.000","12/12/08"
115,"10524","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",23.89,"SC196 ","2009-03-16 17:47:25.000","05/08/09"
116,"12665","2008-01-28 00:00:00.000","2008-01-28 13:13:54.564",48.52,"NE106 ","2008-02-26 00:00:00.000","07/03/08"
117,"12684","2008-04-20 00:00:00.000","2008-04-20 22:38:44.886",21.97,"SE202 ","2008-04-28 00:00:00.000","30/05/08"
119,"11184","2008-03-04 00:00:00.000","2008-03-04 02:25:36.564",10.45,"WE415 ","2008-03-20 00:00:00.000","30/03/08"
121,"12972","2008-04-29 00:00:00.000","2008-04-29 20:59:06.250",10.15,"WE349 ","2008-06-15 00:00:00.000","27/06/08"
122,"12911","2008-04-02 00:00:00.000","2008-04-02 16:33:44.886",16.33,"NW112 ","2008-04-28 00:00:00.000","30/05/08"
123,"10138","2008-09-19 00:00:00.000","2008-09-19 19:57:35.556",68.57,"SE334 ","2008-09-30 00:00:00.000","10/09/08"
124,"13457","2008-05-01 00:00:00.000","2008-05-01 16:58:44.886",14.28,"SW343 ","2008-05-20 00:00:00.000","30/05/08"
125,"13309","2008-05-12 00:00:00.000","2008-05-12 20:07:36.370",19.25,"NC424 ","2008-06-20 00:00:00.000","01/07/08"
126,"13162","2008-04-09 00:00:00.000","2008-04-09 19:27:56.370",23.78,"SE268 ","2008-12-05 00:00:00.000","16/12/08"
127,"13461","2008-12-25 00:00:00.000","2008-12-25 06:12:46.134",10.45,"SW280 ","2009-02-23 00:00:00.000","03/03/09"
128,"10330","2008-10-22 00:00:00.000","2008-10-22 17:33:26.257",50.00,"NC229 ","2008-11-08 00:00:00.000","20/11/08"
129,"12823","2008-11-11 00:00:00.000","2008-11-11 01:34:16.564",16.85,"NW115 ","2008-12-08 00:00:00.000","19/12/08"
130,"10144","2008-05-01 00:00:00.000","2008-05-01 16:58:44.886",19.25,"SW343 ","2008-05-20 00:00:00.000","30/05/08"
131,"13176","2008-12-07 00:00:00.000","2008-12-07 08:43:52.556",17.23,"SW274 ","2009-01-22 00:00:00.000","25/01/09"
132,"12539","2008-05-19 00:00:00.000","2008-05-19 20:47:39.380",29.79,"SC388 ","2008-06-02 00:00:00.000","15/06/08"
133,"10627","2008-08-31 00:00:00.000","2008-08-31 19:17:24.586",19.81,"NC100 ","2008-09-10 00:00:00.000","20/08/08"
134,"13469","2008-05-12 00:00:00.000","2008-05-12 20:07:36.370",29.88,"NC424 ","2008-06-20 00:00:00.000","01/07/08"
135,"11386","2008-02-05 00:00:00.000","2008-02-05 09:25:36.564",11.15,"SE133 ","2008-02-20 00:00:00.000","07/03/08"
137,"10538","2009-04-14 00:00:00.000","2009-04-14 07:32:45.116",33.85,"NE301 ","2009-07-23 00:00:00.000","12/08/09"
138,"12967","2008-11-03 00:00:00.000","2008-11-03 19:43:54.804",6.38,"NC364 ","2008-12-04 00:00:00.000","12/12/08"
139,"10027","2008-11-08 00:00:00.000","2008-11-08 21:33:44.806",24.08,"NW184 ","2008-12-10 00:00:00.000","20/12/08"
140,"11673","2008-03-28 00:00:00.000","2008-03-28 23:58:44.886",18.45,"SC322 ","2008-04-20 00:00:00.000","10/05/08"
141,"12252","2008-05-19 00:00:00.000","2008-05-19 20:47:39.380",12.85,"SC388 ","2008-06-02 00:00:00.000","15/06/08"
143,"11323","2008-08-09 00:00:00.000","2008-08-09 02:48:36.250",18.45,"NW376 ","2008-09-16 00:00:00.000","20/09/08"
144,"11380","2008-12-16 00:00:00.000","2008-12-16 07:32:59.456",8.15,"SW346 ","2009-01-01 00:00:00.000","05/01/09"
145,"11711","2008-06-01 00:00:00.000","2008-06-01 16:58:44.886",33.85,"NC361 ","2008-07-20 00:00:00.000","30/07/08"
146,"12916","2008-11-25 00:00:00.000","2008-11-25 16:23:44.806",16.25,"NW244 ","2008-12-07 00:00:00.000","15/12/08"
148,"10254","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",26.87,"SC124 ","2009-03-16 17:47:25.000","05/08/09"
149,"12675","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",23.12,"SC124 ","2009-03-16 17:47:25.000","05/08/09"
150,"10318","2008-07-29 00:00:00.000","2008-07-29 20:59:06.250",33.99,"SC325 ","2008-06-16 00:00:00.000","27/06/08"
151,"11392","2008-08-03 00:00:00.000","2008-08-03 17:27:54.986",11.15,"NE172 ","2008-09-02 00:00:00.000","10/08/08"
152,"13495","2008-03-14 00:00:00.000","2008-03-14 02:22:36.564",13.70,"SW214 ","2008-03-29 00:00:00.000","09/04/08"
153,"10046","2008-03-19 00:00:00.000","2008-03-19 02:22:36.564",13.70,"SW148 ","2008-04-03 00:00:00.000","19/04/08"
154,"10930","2008-08-19 00:00:00.000","2008-08-19 01:34:16.564",13.70,"SE403 ","2008-08-29 00:00:00.000","09/09/08"
155,"10119","2008-01-06 00:00:00.000","2008-01-06 18:23:54.564",13.70,"NW118 ","2008-01-26 00:00:00.000","07/02/08"
156,"10590","2008-11-11 00:00:00.000","2008-11-11 18:24:36.250",13.70,"SC328 ","2008-12-13 00:00:00.000","20/12/08"
157,"12268","2008-11-25 00:00:00.000","2008-11-25 16:23:44.806",13.70,"NW244 ","2008-12-07 00:00:00.000","15/12/08"
158,"13148","2008-01-16 00:00:00.000","2008-01-16 08:13:54.564",13.70,"NC292 ","2008-02-10 00:00:00.000","27/02/08"
160,"10800","2008-08-03 00:00:00.000","2008-08-03 17:27:54.986",13.70,"NE172 ","2008-09-02 00:00:00.000","10/08/08"
161,"10344","2008-11-11 00:00:00.000","2008-11-11 18:24:36.250",13.70,"SC328 ","2008-12-13 00:00:00.000","20/12/08"
162,"13003","2008-02-05 00:00:00.000","2008-02-05 09:25:36.564",13.70,"SE133 ","2008-02-20 00:00:00.000","07/03/08"
163,"10751","2008-12-10 00:00:00.000","2008-12-10 01:32:59.456",13.70,"NC232 ","2009-01-22 00:00:00.000","25/01/09"
164,"12303","2008-06-26 00:00:00.000","2008-06-26 15:29:06.250",13.70,"NC358 ","2008-07-13 00:00:00.000","23/07/08"
165,"10421","2008-10-20 00:00:00.000","2008-10-20 20:07:39.380",11.15,"WE286 ","2008-11-20 00:00:00.000","30/11/08"
166,"12064","2008-01-28 00:00:00.000","2008-01-28 13:13:54.564",11.15,"NE106 ","2008-02-26 00:00:00.000","07/03/08"
167,"13337","2008-11-19 00:00:00.000","2008-11-19 04:34:16.564",11.15,"WE355 ","2008-12-10 00:00:00.000","20/12/08"
168,"10405","2008-02-23 00:00:00.000","2008-02-23 20:47:44.986",11.15,"WE283 ","2008-03-02 00:00:00.000","10/03/08"
169,"12966","2008-03-31 00:00:00.000","2008-03-31 18:57:39.380",11.15,"SW142 ","2008-04-20 00:00:00.000","30/04/08"
170,"12992","2008-03-28 00:00:00.000","2008-03-28 02:22:36.564",11.15,"WE421 ","2008-04-03 00:00:00.000","19/04/08"
171,"10018","2007-08-13 00:00:00.000","2007-08-13 11:29:06.250",11.15,"SE208 ","2007-12-21 00:00:00.000","03/01/08"
172,"13180","2008-01-03 00:00:00.000","2008-01-03 15:47:56.370",11.15,"SC259 ","2008-02-10 00:00:00.000","20/02/08"
173,"11918","2008-11-03 00:00:00.000","2008-11-03 19:43:54.804",11.15,"NC364 ","2008-12-04 00:00:00.000","12/12/08"
174,"11448","2008-08-25 00:00:00.000","2008-08-25 16:39:06.250",11.15,"NC160 ","2008-09-19 00:00:00.000","27/09/08"
175,"10945","2008-02-23 00:00:00.000","2008-02-23 20:47:44.986",11.15,"WE283 ","2008-03-02 00:00:00.000","10/03/08"
178,"10013","2008-11-09 00:00:00.000","2008-11-09 17:33:26.257",38.99,"SE397 ","2008-12-08 00:00:00.000","20/12/08"
179,"13273","2008-01-03 00:00:00.000","2008-01-03 15:47:56.370",19.85,"SC259 ","2008-02-10 00:00:00.000","20/02/08"
180,"11508","2008-01-24 00:00:00.000","2008-01-24 23:13:54.564",6.38,"SE400 ","2008-02-26 00:00:00.000","07/03/08"
181,"12012","2008-11-11 00:00:00.000","2008-11-11 21:47:56.370",24.08,"WE220 ","2008-12-16 00:00:00.000","25/12/08"
182,"11063","2008-02-26 00:00:00.000","2008-02-26 10:25:36.564",11.35,"SC391 ","2008-03-20 00:00:00.000","07/04/08"
183,"12632","2008-06-29 00:00:00.000","2008-06-29 16:50:44.886",6.87,"SC127 ","2008-07-20 00:00:00.000","30/07/08"
184,"11958","2008-10-07 00:00:00.000","2008-10-07 21:33:59.456",5.85,"SE265 ","2008-11-20 00:00:00.000","25/11/08"
185,"13340","2008-12-28 00:00:00.000","2008-12-28 04:44:52.556",11.15,"SE205 ","2009-01-19 00:00:00.000","25/01/09"
186,"12096","2008-10-20 00:00:00.000","2008-10-20 20:07:39.380",13.70,"WE286 ","2008-11-20 00:00:00.000","30/11/08"
187,"13112","2008-03-19 00:00:00.000","2008-03-19 02:22:36.564",11.45,"SW148 ","2008-04-03 00:00:00.000","19/04/08"
189,"11026","2009-04-02 00:00:00.000","2009-04-02 23:32:45.116",22.77,"RP190 ","2009-05-21 00:00:00.000","15/06/09"
191,"12739","2008-10-20 00:00:00.000","2008-10-20 20:07:39.380",1.49,"WE286 ","2008-11-20 00:00:00.000","30/11/08"
192,"11457","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",27.99,"NC163 ","2009-03-16 17:47:25.000","05/08/09"
193,"10520","2008-10-22 00:00:00.000","2008-10-22 08:19:56.145",18.24,"SW409 ","2009-12-23 00:00:00.000","03/01/09"
194,"12527","2008-09-25 00:00:00.000","2008-09-25 16:43:54.564",33.85,"NE103 ","2008-10-20 00:00:00.000","27/10/08"
197,"13318","2008-04-10 00:00:00.000","2008-04-10 18:36:44.886",12.50,"NW310 ","2008-04-29 00:00:00.000","10/05/08"
198,"12291","2008-01-16 00:00:00.000","2008-01-16 08:13:54.564",35.42,"NC292 ","2008-02-10 00:00:00.000","27/02/08"
199,"10810","2008-09-10 00:00:00.000","2008-09-10 20:27:55.556",29.79,"SE271 ","2008-09-30 00:00:00.000","10/09/08"
200,"12951","2008-12-16 00:00:00.000","2008-12-16 07:32:59.456",17.90,"SW346 ","2009-01-01 00:00:00.000","05/01/09"
201,"11478","2009-03-08 00:00:00.000","2009-03-08 20:32:45.246",16.85,"NE304 ","2009-06-08 00:00:00.000","15/07/09"
202,"11442","2008-04-13 00:00:00.000","2008-04-13 23:47:55.556",33.99,"WE151 ","2008-04-22 00:00:00.000","29/04/08"
203,"10080","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",13.77,"RP121 ","2009-03-16 17:47:25.000","05/08/09"
204,"12579","2008-04-07 00:00:00.000","2008-04-07 08:47:52.556",21.97,"WE157 ","2008-04-22 00:00:00.000","25/04/08"
205,"12286","2008-10-22 00:00:00.000","2008-10-22 08:19:56.145",8.99,"SW409 ","2009-12-23 00:00:00.000","03/01/09"
206,"12789","2008-04-30 00:00:00.000","2008-04-30 01:02:36.564",30.00,"NE235 ","2008-05-19 00:00:00.000","29/05/08"
207,"12353","2008-05-18 00:00:00.000","2008-05-18 23:58:44.886",16.33,"SW145 ","2008-06-28 00:00:00.000","10/07/08"
208,"11522","2008-01-20 00:00:00.000","2008-01-20 22:39:06.250",28.55,"SC130 ","2008-02-10 00:00:00.000","27/02/08"
209,"11441","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",13.88,"RP121 ","2009-03-16 17:47:25.000","05/08/09"
211,"10014","2008-01-06 00:00:00.000","2008-01-06 18:23:54.564",30.00,"NW118 ","2008-01-26 00:00:00.000","07/02/08"
212,"12997","2008-04-09 00:00:00.000","2008-04-09 19:27:56.370",16.83,"SE268 ","2008-12-05 00:00:00.000","16/12/08"
213,"10189","2008-10-26 00:00:00.000","2008-10-26 20:07:39.380",23.37,"SC256 ","2008-11-10 00:00:00.000","14/11/08"
214,"11560","2008-03-14 00:00:00.000","2008-03-14 02:22:36.564",6.15,"SW214 ","2008-03-29 00:00:00.000","09/04/08"
215,"11309","2008-05-18 00:00:00.000","2008-05-18 23:58:44.886",19.85,"SW145 ","2008-06-28 00:00:00.000","10/07/08"
216,"12477","2008-04-26 00:00:00.000","2008-04-26 02:22:36.564",9.00,"NE238 ","2008-05-05 00:00:00.000","19/05/08"
217,"11891","2008-08-23 00:00:00.000","2008-08-23 22:47:24.586",5.85,"SC193 ","2008-09-10 00:00:00.000","20/08/08"
219,"10544","2008-09-30 00:00:00.000","2008-09-30 18:57:28.586",13.70,"WE226 ","2008-10-10 00:00:00.000","20/09/08"
221,"10541","2008-04-30 00:00:00.000","2008-04-30 01:02:36.564",23.89,"NE235 ","2008-05-19 00:00:00.000","29/05/08"
222,"11967","2008-09-30 00:00:00.000","2008-09-30 18:57:28.586",48.52,"WE226 ","2008-10-10 00:00:00.000","20/09/08"
223,"12698","2008-11-17 00:00:00.000","2008-11-17 17:43:54.564",21.97,"NW316 ","2008-11-30 00:00:00.000","12/12/08"
224,"12187","2008-02-06 00:00:00.000","2008-02-06 13:07:36.370",21.97,"NW379 ","2008-02-20 00:00:00.000","01/03/08"
225,"13219","2008-02-06 00:00:00.000","2008-02-06 13:07:36.370",10.45,"NW379 ","2008-02-20 00:00:00.000","01/03/08"
226,"13454","2008-01-28 00:00:00.000","2008-01-28 13:13:54.564",43.89,"NE106 ","2008-02-26 00:00:00.000","07/03/08"
227,"11536","2008-01-16 00:00:00.000","2008-01-16 08:13:54.564",10.15,"NC292 ","2008-02-10 00:00:00.000","27/02/08"
